"id","ICD-9 code","ICD-9 code descriptor","ICD-10 Code","ICD-10 descriptor","Created at","Updated at"
"36","V4361","Joint replaced shoulder","Z96611","Shoulder joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"37","V4360","Joint replaced unspcf","Z9660","Unspecified joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"38","V4585","Insulin pump status","Z9641","Insulin pump status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"39","V4381","Larynx replacement","Z963","Larynx replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"40","V4389","Organ/tiss replacmnt NEC","Z9620","Other organ or tissue replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"41","V431","Lens replacement NEC","Z961","Lens replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"42","V435","Bladder replacement NEC","Z960","Bladder replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"43","V4500","Status cardc dvce unspcf","Z959","Unspecified cardiac device in situ","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"44","V434","Blood vessel replac NEC","Z95820","Blood vessel replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"45","V4509","Status oth spcf crdc dvc","Z95818","Other specified cardiac device in situ","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"46","V4322","Artficial heart replace","Z95812","Organ or tissue replaced by other means, fully implantable artificial heart","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"47","V4321","Heart assist dev replace","Z95811","Organ or tissue replaced by other means, heart assist device","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"48","V4502","Status autm crd dfbrltr","Z95810","Automatic implantable cardiac defibrillator in situ","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"49","V4582","Status-post ptca","Z955","Percutaneous transluminal coronary angioplasty status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"50","V422","Heart valve transplant","Z953","Heart valve replaced by transplant","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"51","V433","Heart valve replac NEC","Z952","Heart valve replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"52","V4581","Aortocoronary bypass","Z951","Aortocoronary bypass status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"53","V4501","Status cardiac pacemaker","Z950","Cardiac pacemaker in situ","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"54","V4282","Trspl sts-perip stm cell","Z9484","Peripheral stem cells replaced by transplant","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"55","V4283","Trnspl status-pancreas","Z9483","Pancreas replaced by transplant","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"56","V4284","Trnspl status-intestines","Z9482","Organ or tissue replaced by transplant, intestines","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"57","V425","Cornea transplant status","Z947","Cornea replaced by transplant","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"58","V424","Bone transplant status","Z946","Bone replaced by transplant","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"59","V423","Skin transplant status","Z945","Skin replaced by transplant","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"60","V449","Artif open status NOS","Z939","Unspecified artificial opening status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"61","V447","Artificial vagina status","Z938","Artificial vagina status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"62","V448","Artif open status NEC","Z938","Other artificial opening status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"63","V446","Urinostomy status NEC","Z936","Other artificial opening of urinary tract status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"64","V4459","Cystostomy status NEC","Z9359","Other cystostomy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"65","V4452","Appendico-vesicos status","Z9352","Appendico-vesicostomy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"66","V4451","Cutaneous-vesicos status","Z9351","Cutaneous-vesicostomy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"67","V4450","Cystostomy status NOS","Z9350","Cystostomy, unspecified","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"68","V444","Enterostomy status NEC","Z934","Status of other artificial opening of gastrointestinal tract","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"69","V443","Colostomy status","Z933","Colostomy status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"70","V442","Ileostomy status","Z932","Ileostomy status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"71","V441","Gastrostomy status","Z931","Gastrostomy status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"72","V440","Tracheostomy status","Z930","Tracheostomy status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"73","V1580","Hx failed mod sedation","Z9283","Personal history of failed moderate sedation","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"74","V4588","TPA adm status 24 hr pta","Z9282","Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"75","V1587","Hx of ECMO","Z9281","History of extracorporeal membrane oxygenation (ECMO)","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"76","V153","Hx of irradiation","Z923","Personal history of irradiation, presenting hazards to health","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"77","V8749","Hx drug therapy NEC","Z9229","Personal history of other drug therapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"78","V8746","Hx immunosuppres thrpy","Z9225","Personal history of immunosuppressive therapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"79","V8745","Hx systemc steroid thrpy","Z92241","Personal history of systemic steroid therapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"80","V8744","Hx inhaled steroid thrpy","Z92240","Personal history of inhaled steroid therapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"81","V8743","Hx estrogen therapy","Z9223","Personal history of estrogen therapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"82","V8742","Hx monoclonal drug thrpy","Z9222","Personal history of monoclonal drug therapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"83","V8741","Hx antineoplastic chemo","Z9221","Personal history of antineoplastic chemotherapy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"84","V157","Hx of contraception","Z920","Personal history of contraception, presenting hazards to health","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"85","V4031","Wandering-dis elsewhere","Z9183","Wandering in diseases classified elsewhere","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"86","V1588","Personal history of fall","Z9181","History of fall","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"87","V1549","Psychological trauma NEC","Z91419","Other psychological trauma","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"88","V1542","Hx of emotional abuse","Z91411","History of emotional abuse","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"89","V1541","Hx of physical abuse","Z91410","History of physical abuse","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"90","V4512","Noncmplnt w renal dialys","Z9115","Noncompliance with renal dialysis","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"91","V1581","Hx of past noncompliance","Z9111","Personal history of noncompliance with medical treatment, presenting hazards to health","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"92","V1509","Hx-allergy NEC","Z91048","Other allergy, other than to medicinal agents","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"93","V1508","Hx-radiogrphc dye allrgy","Z91041","Allergy to radiographic dye","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"94","V1507","Hx-latex allergy","Z91040","Allergy to latex","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"95","V1506","Hx-allergy insct/arachnd","Z91030","Allergy to insects and arachnids","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"96","V1505","Hx-other food allergy","Z91018","Allergy to other foods","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"97","V1504","Hx-seafood allergy","Z91013","Allergy to seafood","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"98","V1503","Hx-eggs allergy","Z91012","Allergy to eggs","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"99","V1502","Hx-milk prod allergy","Z91011","Allergy to milk products","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"100","V1501","Hx-peanut allergy","Z91010","Allergy to peanuts","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"101","V4577","Acq absnce genital organ","Z90721","Acquired absence of organ, genital organs","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"102","V8803","Acq absnc cerv/remain ut","Z90712","Acquired absence of cervix with remaining uterus","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"103","V8802","Acq ab ut remn cerv stmp","Z90711","Acquired absence of uterus with remaining cervical stump","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"104","V8801","Acq absnce cervix/uterus","Z90710","Acquired absence of both cervix and uterus","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"105","V4574","Acq absence urinary trct","Z906","Acquired absence of organ, other parts of urinary tract","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"106","V4573","Acquired absence kidney","Z905","Acquired absence of kidney","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"107","V4572","Acquire absnce intestine","Z9049","Acquired absence of intestine (large) (small)","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"108","V8812","Acq part absnce pancreas","Z90411","Acquired partial absence of pancreas","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"109","V8811","Acq total absnc pancreas","Z90410","Acquired total absence of pancreas","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"110","V4575","Acq absence of stomach","Z903","Acquired absence of organ, stomach","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"111","V4576","Acq absence of lung","Z902","Acquired absence of organ, lung","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"112","V4571","Acq absnce breast/nipple","Z9010","Acquired absence of breast and nipple","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"113","V4579","Acq absence of organ NEC","Z9002","Other acquired absence of organ","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"114","V4578","Acquired absence of eye","Z9001","Acquired absence of organ, eye","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"115","V4970","Status amput lwr lmb NOS","Z899","Unspecified level lower limb amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"116","V8821","Acq absence of hip joint","Z89621","Acquired absence of hip joint","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"117","V4977","Status amput hip","Z89621","Hip amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"118","V4976","Status amput above knee","Z89611","Above knee amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"119","V8822","Acq absence knee joint","Z89521","Acquired absence of knee joint","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"120","V4975","Status amput below knee","Z89511","Below knee amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"121","V4974","Status amput ankle","Z89441","Ankle amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"122","V4973","Status amput foot","Z89431","Foot amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"123","V4972","Status amput othr toe(s)","Z89421","Other toe(s) amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"124","V4971","Status amput great toe","Z89411","Great toe amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"125","V4967","Status amput shoulder","Z89231","Shoulder amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"126","V4966","Status amput above elbow","Z89221","Above elbow amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"127","V4965","Status amput below elbow","Z89211","Below elbow amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"128","V4960","Status amput up lmb NOS","Z89201","Unspecified level upper limb amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"129","V4964","Status amput wrist","Z89121","Wrist amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"130","V4963","Status amput hand","Z89111","Hand amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"131","V4962","Status amput oth fingers","Z89021","Other finger(s) amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"132","V4961","Status amput thumb","Z89011","Thumb amputation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"133","V149","Hx-drug allergy NOS","Z889","Personal history of allergy to unspecified medicinal agent","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"134","V148","Hx-drug allergy NEC","Z888","Personal history of allergy to other specified medicinal agents","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"135","V147","Hx-vaccine allergy","Z887","Personal history of allergy to serum or vaccine","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"136","V146","Hx-analgesic allergy","Z886","Personal history of allergy to analgesic agent","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"137","V145","Hx-narcotic allergy","Z885","Personal history of allergy to narcotic agent","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"138","V144","Hx-anesthetic allergy","Z884","Personal history of allergy to anesthetic agent","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"139","V143","Hx-anti-infect allergy","Z883","Personal history of allergy to other anti-infective agent","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"140","V142","Hx-sulfonamides allergy","Z882","Personal history of allergy to sulfonamides","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"141","V141","Hx-antibiot allergy NEC","Z881","Personal history of allergy to other antibiotic agent","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"142","V140","Hx-penicillin allergy","Z880","Personal history of allergy to penicillin","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"143","V1381","Hx of anaphylaxis","Z87892","Personal history of anaphylaxis","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"144","V1582","History of tobacco use","Z87891","Personal history of tobacco use","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"145","V1559","Hx injury NEC","Z87828","Personal history of other injury","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"146","V1553","Hx retained FB, rem","Z87821","Personal history of retained foreign body fully removed","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"147","V1552","Hx traumatc brain injury","Z87820","Personal history of traumatic brain injury","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"148","V1551","Hx traumatic fracture","Z8781","Personal history of traumatic fracture","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"149","V1369","Hx-congenital malfor NEC","Z87798","Personal history of other (corrected) congenital malformations","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"150","V1368","Hx-cong malform-skin,ms","Z8776","Personal history of (corrected) congenital malformations of integument, limbs, and musculoskeletal systems","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"151","V1366","Hx-cong malform-resp sys","Z8775","Personal history of (corrected) congenital malformations of respiratory system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"152","V1365","Hx-cong malform-heart","Z8774","Personal history of (corrected) congenital malformations of heart and circulatory system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"153","V1367","Hx-cong malform-digest","Z87738","Personal history of (corrected) congenital malformations of digestive system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"154","V1363","Hx-cong malform-nervous","Z87728","Personal history of (corrected) congenital malformations of nervous system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"155","V1364","Hx-cong malform-eye,face","Z87720","Personal history of (corrected) congenital malformations of eye, ear, face and neck","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"156","V1362","Hx-cong malform-gu","Z87718","Personal history of other (corrected) congenital malformations of genitourinary system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"157","V1361","Hx-hypospadias","Z87710","Personal history of (corrected) hypospadias","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"158","V131","Hx-trophoblastic disease","Z8759","Personal history of trophoblastic disease","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"159","V1321","History-pre-term labor","Z8751","Personal history of pre-term labor","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"160","V1300","Prsnl hst urnr dsrd unsp","Z87448","Personal history of unspecified urinary disorder","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"161","V1309","Prsn hst ot spf urn dsrd","Z87448","Personal history of other specified urinary system disorders","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"162","V1301","Prsnl hst urnr dsrd calc","Z87442","Personal history of urinary calculi","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"163","V1303","Personl hx nephrotic syn","Z87441","Personal history, nephrotic syndrome","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"164","V1302","Personal history UTI","Z87440","Personal history, urinary (tract) infection","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"165","V1329","Hx-genital/obs dis NEC","Z8742","Personal history of other genital system and obstetric disorders","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"166","V1324","Hx vulvar dysplasia","Z87412","Personal history of vulvar dysplasia","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"167","V1323","Hx vaginal dysplasia","Z87411","Personal history of vaginal dysplasia","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"168","V1322","Hx of cervical dysplasia","Z87410","Personal history of cervical dysplasia","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"169","V1359","Hx musculoskletl dis NEC","Z8739","Personal history of other musculoskeletal disorders","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"170","V1352","Hx stress fracture","Z87312","Personal history of stress fracture","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"171","V1351","Hx pathological fracture","Z87310","Personal history of pathologic fracture","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"172","V133","Hx-skin/subcutan tis dis","Z872","Personal history of diseases of skin and subcutaneous tissue","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"173","V1270","Prsnl hst unspc dgstv ds","Z8719","Personal history of unspecified digestive disease","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"174","V1279","Prsnl hst ot spf dgst ds","Z8719","Personal history of other diseases of digestive system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"175","V1271","Prsnl hst peptic ulcr ds","Z8711","Personal history of peptic ulcer disease","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"176","V1260","Hx resp system dis NOS","Z8709","Personal history of unspecified disease of respiratory system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"177","V1269","Hx resp system dis NEC","Z8709","Personal history of other diseases of respiratory system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"178","V1261","Prsnl hx recur pneumonia","Z8701","Personal history of pneumonia (recurrent)","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"179","V1250","Hx-circulatory dis NOS","Z8679","Personal history of unspecified circulatory disease","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"180","V1259","Hx-circulatory dis NEC","Z8679","Personal history of other diseases of circulatory system","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"181","V1253","Hx sudden cardiac arrest","Z8674","Personal history of sudden cardiac arrest","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"182","V1254","Hx TIA/stroke w/o resid","Z8673","Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"183","V1252","Hx-thrombophlebitis","Z8672","Personal history of thrombophlebitis","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"184","V1251","Hx-ven thrombosis/embols","Z86718","Personal history of venous thrombosis and embolism","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"185","V1255","Hx pulmonary embolism","Z86711","Personal history of pulmonary embolism","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"186","V1240","Hx nerv sys/snse org NOS","Z8669","Personal history of unspecified disorder of nervous system and sense organs","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"187","V1249","Hx nerv sys/snse org NEC","Z8669","Personal history of other disorders of nervous system and sense organs","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
