Counter,ICD-10 code,WHO update 1=Add 2=Del,ICD-10 code descriptor,ICD-10-AM Map,Aust update 1=Add 2=Del,Additive Map (+),ICD-10-AM code descriptor
42,A06.5,,Amoebic lung abscess (J99.8*),A06.5,,,Amoebic lung abscess
43,A06.6,,Amoebic brain abscess (G07*),A06.6,,,Amoebic brain abscess
44,A06.7,,Cutaneous amoebiasis,A06.7,,,Cutaneous amoebiasis
45,A06.8,,Amoebic infection of other sites,A06.8,,,Amoebic infection of other sites
46,A06.9,,"Amoebiasis, unspecified",A06.9,,,"Amoebiasis, unspecified"
47,A07.0,,Balantidiasis,A07.0,,,Balantidiasis
48,A07.1,,Giardiasis [lambliasis],A07.1,,,Giardiasis [lambliasis]
49,A07.2,,Cryptosporidiosis,A07.2,,,Cryptosporidiosis
50,A07.3,,Isosporiasis,A07.3,,,Isosporiasis
51,A07.8,,Other specified protozoal intestinal diseases,A07.8,,,Other specified protozoal intestinal diseases
52,A07.9,,"Protozoal intestinal disease, unspecified",A07.9,,,"Protozoal intestinal disease, unspecified"
53,A08.0,,Rotaviral enteritis,A08.0,,,Rotaviral enteritis
54,A08.1,,Acute gastroenteropathy due to Norovirus,A08.1,,,Acute gastroenteropathy due to Norovirus
55,A08.2,,Adenoviral enteritis,A08.2,,,Adenoviral enteritis
56,A08.3,,Other viral enteritis,A08.3,,,Other viral enteritis
57,A08.4,,"Viral intestinal infection, unspecified",A08.4,,,"Viral intestinal infection, unspecified"
58,A08.5,,Other specified intestinal infections,A08.5,,,Other specified intestinal infections
59,A09.0,,Other gastroenteritis and colitis of infectious origin,A09.0,,,Other gastroenteritis and colitis of infectious origin
60,A09.9,,Other gastroenteritis and colitis of unspecified origin,A09.9,,,Other gastroenteritis and colitis of unspecified origin
61,A15.0,,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15.0,,,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
62,A15.1,,"Tuberculosis of lung, confirmed by culture only",A15.1,,,"Tuberculosis of lung, confirmed by culture only"
63,A15.2,,"Tuberculosis of lung, confirmed histologically",A15.2,,,"Tuberculosis of lung, confirmed histologically"
64,A15.3,,"Tuberculosis of lung, confirmed by unspecified means",A15.3,,,"Tuberculosis of lung, confirmed by unspecified means"
65,A15.4,,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15.4,,,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
66,A15.5,,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,,,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
67,A15.6,,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15.6,,,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
68,A15.7,,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15.7,,,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
69,A15.8,,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15.8,,,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
70,A15.9,,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15.9,,,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
71,A16.0,,"Tuberculosis of lung, bacteriologically and histologically negative",A16.0,,,"Tuberculosis of lung, bacteriologically and histologically negative"
72,A16.1,,"Tuberculosis of lung, bacteriological and histological examination not done",A16.1,,,"Tuberculosis of lung, bacteriological and histological examination not done"
73,A16.2,,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,,,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
74,A16.3,,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16.3,,,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
75,A16.4,,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,,,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
76,A16.5,,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,,,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
77,A16.7,,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A16.7,,,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
78,A16.8,,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16.8,,,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
79,A16.9,,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,,,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
80,A17.0,,Tuberculous meningitis (G01*),A17.0,,,Tuberculous meningitis
81,A17.1,,Meningeal tuberculoma (G07*),A17.1,,,Meningeal tuberculoma
82,A17.8,,Other tuberculosis of nervous system,A17.8,,,Other tuberculosis of nervous system
83,A17.9,,"Tuberculosis of nervous system, unspecified (G99.8*)",A17.9,,,"Tuberculosis of nervous system, unspecified"
84,A18.0,,Tuberculosis of bones and joints,A18.0,,,Tuberculosis of bones and joints
85,A18.1,,Tuberculosis of genitourinary system,A18.1,,,Tuberculosis of genitourinary system
86,A18.2,,Tuberculous peripheral lymphadenopathy,A18.2,,,Tuberculous peripheral lymphadenopathy
87,A18.3,,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3,,,"Tuberculosis of intestines, peritoneum and mesenteric glands"
88,A18.4,,Tuberculosis of skin and subcutaneous tissue,A18.4,,,Tuberculosis of skin and subcutaneous tissue
89,A18.5,,Tuberculosis of eye,A18.5,,,Tuberculosis of eye
90,A18.6,,Tuberculosis of ear,A18.6,,,Tuberculosis of ear
91,A18.7,,Tuberculosis of adrenal glands (E35.1*),A18.7,,,Tuberculosis of adrenal glands
92,A18.8,,Tuberculosis of other specified organs,A18.8,,,Tuberculosis of other specified organs
93,A19.0,,Acute miliary tuberculosis of a single specified site,A19.0,,,Acute miliary tuberculosis of a single specified site
94,A19.1,,Acute miliary tuberculosis of multiple sites,A19.1,,,Acute miliary tuberculosis of multiple sites
95,A19.2,,"Acute miliary tuberculosis, unspecified",A19.2,,,"Acute miliary tuberculosis, unspecified"
96,A19.8,,Other miliary tuberculosis,A19.8,,,Other miliary tuberculosis
97,A19.9,,"Miliary tuberculosis, unspecified",A19.9,,,"Miliary tuberculosis, unspecified"
98,A20.0,,Bubonic plague,A20.0,,,Bubonic plague
99,A20.1,,Cellulocutaneous plague,A20.1,,,Cellulocutaneous plague
100,A20.2,,Pneumonic plague,A20.2,,,Pneumonic plague
101,A20.3,,Plague meningitis,A20.3,,,Plague meningitis
102,A20.7,,Septicaemic plague,A20.7,,,Septicaemic plague
103,A20.8,,Other forms of plague,A20.8,,,Other forms of plague
104,A20.9,,"Plague, unspecified",A20.9,,,"Plague, unspecified"
105,A21.0,,Ulceroglandular tularaemia,A21.0,,,Ulceroglandular tularaemia
106,A21.1,,Oculoglandular tularaemia,A21.1,,,Oculoglandular tularaemia
107,A21.2,,Pulmonary tularaemia,A21.2,,,Pulmonary tularaemia
108,A21.3,,Gastrointestinal tularaemia,A21.3,,,Gastrointestinal tularaemia
109,A21.7,,Generalised tularaemia,A21.7,,,Generalised tularaemia
110,A21.8,,Other forms of tularaemia,A21.8,,,Other forms of tularaemia
111,A21.9,,"Tularaemia, unspecified",A21.9,,,"Tularaemia, unspecified"
112,A22.0,,Cutaneous anthrax,A22.0,,,Cutaneous anthrax
113,A22.1,,Pulmonary anthrax,A22.1,,,Pulmonary anthrax
114,A22.2,,Gastrointestinal anthrax,A22.2,,,Gastrointestinal anthrax
115,A22.7,,Anthrax sepsis,A22.7,,,Anthrax sepsis
116,A22.8,,Other forms of anthrax,A22.8,,,Other forms of anthrax
117,A22.9,,"Anthrax, unspecified",A22.9,,,"Anthrax, unspecified"
118,A23.0,,Brucellosis due to Brucella melitensis,A23.0,,,Brucellosis due to Brucella melitensis
119,A23.1,,Brucellosis due to Brucella abortus,A23.1,,,Brucellosis due to Brucella abortus
120,A23.2,,Brucellosis due to Brucella suis,A23.2,,,Brucellosis due to Brucella suis
121,A23.3,,Brucellosis due to Brucella canis,A23.3,,,Brucellosis due to Brucella canis
122,A23.8,,Other brucellosis,A23.8,,,Other brucellosis
123,A23.9,,"Brucellosis, unspecified",A23.9,,,"Brucellosis, unspecified"
124,A24.0,,Glanders,A24.0,,,Glanders
125,A24.1,,Acute and fulminating melioidosis,A24.1,,,Acute and fulminating melioidosis
126,A24.2,,Subacute and chronic melioidosis,A24.2,,,Subacute and chronic melioidosis
127,A24.3,,Other melioidosis,A24.3,,,Other melioidosis
128,A24.4,,"Melioidosis, unspecified",A24.4,,,"Melioidosis, unspecified"
129,A25.0,,Spirillosis,A25.0,,,Spirillosis
130,A25.1,,Streptobacillosis,A25.1,,,Streptobacillosis
131,A25.9,,"Rat-bite fever, unspecified",A25.9,,,"Rat-bite fever, unspecified"
132,A26.0,,Cutaneous erysipeloid,A26.0,,,Cutaneous erysipeloid
133,A26.7,,Erysipelothrix sepsis,A26.7,,,Erysipelothrix sepsis
134,A26.8,,Other forms of erysipeloid,A26.8,,,Other forms of erysipeloid
135,A26.9,,"Erysipeloid, unspecified",A26.9,,,"Erysipeloid, unspecified"
136,A27.0,,Leptospirosis icterohaemorrhagica,A27.0,,,Leptospirosis icterohaemorrhagica
137,A27.8,,Other forms of leptospirosis,A27.8,,,Other forms of leptospirosis
138,A27.9,,"Leptospirosis, unspecified",A27.9,,,"Leptospirosis, unspecified"
139,A28.0,,Pasteurellosis,A28.0,,,Pasteurellosis
140,A28.1,,Cat-scratch disease,A28.1,,,Cat-scratch disease
141,A28.2,,Extraintestinal yersiniosis,A28.2,,,Extraintestinal yersiniosis
142,A28.8,,"Other specified zoonotic bacterial diseases, not elsewhere classified",A28.8,,,"Other specified zoonotic bacterial diseases, not elsewhere classified"
143,A28.9,,"Zoonotic bacterial disease, unspecified",A28.9,,,"Zoonotic bacterial disease, unspecified"
144,A30.0,,Indeterminate leprosy,A30.0,,,Indeterminate leprosy
145,A30.1,,Tuberculoid leprosy,A30.1,,,Tuberculoid leprosy
146,A30.2,,Borderline tuberculoid leprosy,A30.2,,,Borderline tuberculoid leprosy
147,A30.3,,Borderline leprosy,A30.3,,,Borderline leprosy
148,A30.4,,Borderline lepromatous leprosy,A30.4,,,Borderline lepromatous leprosy
149,A30.5,,Lepromatous leprosy,A30.5,,,Lepromatous leprosy
150,A30.8,,Other forms of leprosy,A30.8,,,Other forms of leprosy
151,A30.9,,"Leprosy, unspecified",A30.9,,,"Leprosy, unspecified"
152,A31.0,,Pulmonary mycobacterial infection,A31.0,,,Pulmonary mycobacterial infection
153,A31.1,,Cutaneous mycobacterial infection,A31.1,,,Cutaneous mycobacterial infection
154,A31.8,,Other mycobacterial infections,A31.8,,,Other mycobacterial infections
155,A31.9,,"Mycobacterial infection, unspecified",A31.9,,,"Mycobacterial infection, unspecified"
156,A32.0,,Cutaneous listeriosis,A32.0,,,Cutaneous listeriosis
157,A32.1,,Listerial meningitis and meningoencephalitis,A32.1,,,Listerial meningitis and meningoencephalitis
158,A32.7,,Listerial sepsis,A32.7,,,Listerial sepsis
159,A32.8,,Other forms of listeriosis,A32.8,,,Other forms of listeriosis
160,A32.9,,"Listeriosis, unspecified",A32.9,,,"Listeriosis, unspecified"
161,A33,,Tetanus neonatorum,A33,,,Tetanus neonatorum
162,A34,,Obstetrical tetanus,A34,,,Obstetrical tetanus
163,A35,,Other tetanus,A35,,,Other tetanus
164,A36.0,,Pharyngeal diphtheria,A36.0,,,Pharyngeal diphtheria
165,A36.1,,Nasopharyngeal diphtheria,A36.1,,,Nasopharyngeal diphtheria
166,A36.2,,Laryngeal diphtheria,A36.2,,,Laryngeal diphtheria
167,A36.3,,Cutaneous diphtheria,A36.3,,,Cutaneous diphtheria
168,A36.8,,Other diphtheria,A36.8,,,Other diphtheria
169,A36.9,,"Diphtheria, unspecified",A36.9,,,"Diphtheria, unspecified"
170,A37.0,,Whooping cough due to Bordetella pertussis,A37.0,,,Whooping cough due to Bordetella pertussis
171,A37.1,,Whooping cough due to Bordetella parapertussis,A37.1,,,Whooping cough due to Bordetella parapertussis
172,A37.8,,Whooping cough due to other Bordetella species,A37.8,,,Whooping cough due to other Bordetella species
173,A37.9,,"Whooping cough, unspecified",A37.9,,,"Whooping cough, unspecified"
174,A38,,Scarlet fever,A38,,,Scarlet fever
175,A39.0,,Meningococcal meningitis (G01*),A39.0,,,Meningococcal meningitis
176,A39.1,,Waterhouse-Friderichsen syndrome (E35.1*),A39.1,,,Waterhouse-Friderichsen syndrome (E35.1*)
177,A39.2,,Acute meningococcaemia,A39.2,,,Acute meningococcaemia
178,A39.3,,Chronic meningococcaemia,A39.3,,,Chronic meningococcaemia
179,A39.4,,"Meningococcaemia, unspecified",A39.4,,,"Meningococcaemia, unspecified"
180,A39.5,,Meningococcal heart disease,A39.5,,,Meningococcal heart disease
181,A39.8,,Other meningococcal infections,A39.8,,,Other meningococcal infections
182,A39.9,,"Meningococcal infection, unspecified",A39.9,,,"Meningococcal infection, unspecified"
183,A40.0,,"Sepsis due to streptococcus, group A",A40.0,,,"Sepsis due to streptococcus, group A"
184,A40.1,,"Sepsis due to streptococcus, group B",A40.1,,,"Sepsis due to streptococcus, group B"
185,A40.2,,"Sepsis due to streptococcus, group D and enterococcus",A40.2,,,"Sepsis due to streptococcus, group D and enterococcus"
186,A40.3,,Sepsisa due to Streptococcus pneumoniae,A40.3,,,Sepsis due to Streptococcus pneumoniae
187,A40.8,,Other streptococcal sepsis,A40.8,,,Other streptococcal sepsis
188,A40.9,,"Streptococcal sepsis, unspecified",A40.9,,,"Streptococcal sepsis, unspecified"
189,A41.0,,Sepsis due to Staphylococcus aureus,A41.0,,,Sepsis due to Staphylococcus aureus
190,A41.1,,Sepsis due to other specified staphylococcus,A41.1,,,Sepsis due to other specified staphylococcus
191,A41.2,,Sepsis due to unspecified staphylococcus,A41.2,,,Sepsis due to unspecified staphylococcus
192,A41.3,,Sepsis due to Haemophilus influenzae,A41.3,,,Sepsis due to Haemophilus influenzae
193,A41.4,,Sepsis due to anaerobes,A41.4,,,Sepsis due to anaerobes
194,A41.5,,Sepsis due to other Gram-negative organisms,A41.58,,,Sepsis due to other Gram-negative organisms
195,A41.5,,Sepsis due to other Gram-negative organisms,A41.50,,,Sepsis due to unspecified Gram-negative organisms
196,A41.5,,Sepsis due to other Gram-negative organisms,A41.51,,,Sepsis due to Escherichia coli [E. Coli]
197,A41.5,,Sepsis due to other Gram-negative organisms,A41.52,,,Sepsis due to Pseudomonas
198,A41.8,,Other specified sepsis,A41.8,,,Other specified sepsis
199,A41.9,,"Sepsis, unspecified",A41.9,,,"Sepsis, unspecified"
200,A42.0,,Pulmonary actinomycosis,A42.0,,,Pulmonary actinomycosis
201,A42.1,,Abdominal actinomycosis,A42.1,,,Abdominal actinomycosis
202,A42.2,,Cervicofacial actinomycosis,A42.2,,,Cervicofacial actinomycosis
203,A42.7,,Actinomycotic sepsis,A42.7,,,Actinomycotic sepsis
204,A42.8,,Other forms of actinomycosis,A42.8,,,Other forms of actinomycosis
205,A42.9,,"Actinomycosis, unspecified",A42.9,,,"Actinomycosis, unspecified"
206,A43.0,,Pulmonary nocardiosis,A43.0,,,Pulmonary nocardiosis
207,A43.1,,Cutaneous nocardiosis,A43.1,,,Cutaneous nocardiosis
208,A43.8,,Other forms of nocardiosis,A43.8,,,Other forms of nocardiosis
209,A43.9,,"Nocardiosis, unspecified",A43.9,,,"Nocardiosis, unspecified"
210,A44.0,,Systemic bartonellosis,A44.0,,,Systemic bartonellosis
211,A44.1,,Cutaneous and mucocutaneous bartonellosis,A44.1,,,Cutaneous and mucocutaneous bartonellosis
212,A44.8,,Other forms of bartonellosis,A44.8,,,Other forms of bartonellosis
213,A44.9,,"Bartonellosis, unspecified",A44.9,,,"Bartonellosis, unspecified"
214,A46,,Erysipelas,A46,,,Erysipelas
215,A48.0,,Gas gangrene,A48.0,,,Gas gangrene
216,A48.1,,Legionnaires' disease,A48.1,,,Legionnaires' disease
217,A48.2,,Nonpneumonic Legionnaires' disease [Pontiac fever],A48.2,,,Nonpneumonic Legionnaires' disease [Pontiac fever]
218,A48.3,,Toxic shock syndrome,A48.3,,,Toxic shock syndrome
219,A48.4,,Brazilian purpuric fever,A48.4,,,Brazilian purpuric fever
220,A48.8,,Other specified bacterial diseases,A48.8,,,Other specified bacterial diseases
221,A49.0,,"Staphylococcal infection, unspecified site",A49.00,,,"Staphylococcal infection, unspecified site"
222,A49.0,,"Staphylococcal infection, unspecified site",A49.01,,,"Staphylococcal aureus infection, unspecified site"
223,A49.1,,"Streptococcal and enterococcal infection, unspecified site",A49.1,,,"Streptococcal and enterococcal infection, unspecified site"
224,A49.2,,"Haemophilus influenzae infection, unspecified site",A49.2,,,"Haemophilus influenzae infection, unspecified site"
225,A49.3,,"Mycoplasma infection, unspecified site",A49.3,,,"Mycoplasma infection, unspecified site"
226,A49.8,,Other bacterial infections of unspecified site,A49.8,,,Other bacterial infections of unspecified site
227,A49.9,,"Bacterial infection, unspecified",A49.9,,,"Bacterial infection, unspecified"
228,A50.0,,"Early congenital syphilis, symptomatic",A50.0,,,"Early congenital syphilis, symptomatic"
229,A50.1,,"Early congenital syphilis, latent",A50.1,,,"Early congenital syphilis, latent"
230,A50.2,,"Early congenital syphilis, unspecified",A50.2,,,"Early congenital syphilis, unspecified"
231,A50.3,,Late congenital syphilitic oculopathy,A50.3,,,Late congenital syphilitic oculopathy
232,A50.4,,Late congenital neurosyphilis [juvenile neurosyphilis],A50.4,,,Late congenital neurosyphilis [juvenile neurosyphilis]
233,A50.5,,"Other late congenital syphilis, symptomatic",A50.5,,,"Other late congenital syphilis, symptomatic"
234,A50.6,,"Late congenital syphilis, latent",A50.6,,,"Late congenital syphilis, latent"
235,A50.7,,"Late congenital syphilis, unspecified",A50.7,,,"Late congenital syphilis, unspecified"
236,A50.9,,"Congenital syphilis, unspecified",A50.9,,,"Congenital syphilis, unspecified"
237,A51.0,,Primary genital syphilis,A51.0,,,Primary genital syphilis
238,A51.1,,Primary anal syphilis,A51.1,,,Primary anal syphilis
239,A51.2,,Primary syphilis of other sites,A51.2,,,Primary syphilis of other sites
240,A51.3,,Secondary syphilis of skin and mucous membranes,A51.3,,,Secondary syphilis of skin and mucous membranes
241,A51.4,,Other secondary syphilis,A51.4,,,Other secondary syphilis
242,A51.5,,"Early syphilis, latent",A51.5,,,"Early syphilis, latent"
243,A51.9,,"Early syphilis, unspecified",A51.9,,,"Early syphilis, unspecified"
244,A52.0,,Cardiovascular syphilis (I98.0*),A52.0,,,Cardiovascular syphilis (I98.0*)
245,A52.1,,Symptomatic neurosyphilis,A52.1,,,Symptomatic neurosyphilis
246,A52.2,,Asymptomatic neurosyphilis,A52.2,,,Asymptomatic neurosyphilis
247,A52.3,,"Neurosyphilis, unspecified",A52.3,,,"Neurosyphilis, unspecified"
248,A52.7,,Other symptomatic late syphilis,A52.7,,,Other symptomatic late syphilis
249,A52.8,,"Late syphilis, latent",A52.8,,,"Late syphilis, latent"
250,A52.9,,"Late syphilis, unspecified",A52.9,,,"Late syphilis, unspecified"
251,A53.0,,"Latent syphilis, unspecified as early or late",A53.0,,,"Latent syphilis, unspecified as early or late"
252,A53.9,,"Syphilis, unspecified",A53.9,,,"Syphilis, unspecified"
253,A54.0,,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A54.0,,,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
254,A54.1,,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A54.1,,,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
255,A54.2,,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,A54.2,,,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
256,A54.3,,Gonococcal infection of eye,A54.3,,,Gonococcal infection of eye
257,A54.4,,Gonococcal infection of musculoskeletal system,A54.4,,,Gonococcal infection of musculoskeletal system
258,A54.5,,Gonococcal pharyngitis,A54.5,,,Gonococcal pharyngitis
259,A54.6,,Gonococcal infection of anus and rectum,A54.6,,,Gonococcal infection of anus and rectum
260,A54.8,,Other gonococcal infections,A54.8,,,Other gonococcal infections
261,A54.9,,"Gonococcal infection, unspecified",A54.9,,,"Gonococcal infection, unspecified"
262,A55,,Chlamydial lymphogranuloma (venereum),A55,,,Chlamydial lymphogranuloma (venereum)
263,A56.0,,Chlamydial infection of lower genitourinary tract,A56.0,,,Chlamydial infection of lower genitourinary tract
264,A56.1,,Chlamydial infection of pelviperitoneum and other genitourinary organs,A56.1,,,Chlamydial infection of pelviperitoneum and other genitourinary organs
265,A56.2,,"Chlamydial infection of genitourinary tract, unspecified",A56.2,,,"Chlamydial infection of genitourinary tract, unspecified"
266,A56.3,,Chlamydial infection of anus and rectum,A56.3,,,Chlamydial infection of anus and rectum
267,A56.4,,Chlamydial infection of pharynx,A56.4,,,Chlamydial infection of pharynx
268,A56.8,,Sexually transmitted chlamydial infection of other sites,A56.8,,,Sexually transmitted chlamydial infection of other sites
269,A57,,Chancroid,A57,,,Chancroid
270,A58,,Granuloma inguinale,A58,,,Granuloma inguinale
271,A59.0,,Urogenital trichomoniasis,A59.0,,,Urogenital trichomoniasis
272,A59.8,,Trichomoniasis of other sites,A59.8,,,Trichomoniasis of other sites
273,A59.9,,"Trichomoniasis, unspecified",A59.9,,,"Trichomoniasis, unspecified"
274,A60.0,,Herpesviral infection of genitalia and urogenital tract,A60.0,,,Herpesviral infection of genitalia and urogenital tract
275,A60.1,,Herpesviral infection of perianal skin and rectum,A60.1,,,Herpesviral infection of perianal skin and rectum
276,A60.9,,"Anogenital herpesviral infection, unspecified",A60.9,,,"Anogenital herpesviral infection, unspecified"
277,A63.0,,Anogenital (venereal) warts,A63.00,,,"Anogenital (venereal) warts, unspecified site"
278,A63.0,,Anogenital (venereal) warts,A63.01,,,Perianal (venereal) warts
279,A63.0,,Anogenital (venereal) warts,A63.02,,,Cervical (venereal) warts
280,A63.0,,Anogenital (venereal) warts,A63.03,,,Urethral (venereal) warts
281,A63.0,,Anogenital (venereal) warts,A63.04,,,Vaginal (venereal) warts
282,A63.0,,Anogenital (venereal) warts,A63.05,,,Vulval (venereal) warts
283,A63.0,,Anogenital (venereal) warts,A63.06,,,Penile (venereal) warts
284,A63.0,,Anogenital (venereal) warts,A63.07,,,Scrotal (venereal) warts
285,A63.0,,Anogenital (venereal) warts,A63.09,,,"Anogenital (venereal) warts, other site"
286,A63.8,,Other specified predominantly sexually transmitted diseases,A63.8,,,Other specified predominantly sexually transmitted diseases
287,A64,,Unspecified sexually transmitted disease,A64,,,Unspecified sexually transmitted disease
288,A65,,Nonvenereal syphilis,A65,,,Nonvenereal syphilis
289,A66.0,,Initial lesions of yaws,A66.0,,,Initial lesions of yaws
290,A66.1,,Multiple papillomata and wet crab yaws,A66.1,,,Multiple papillomata and wet crab yaws
291,A66.2,,Other early skin lesions of yaws,A66.2,,,Other early skin lesions of yaws
292,A66.3,,Hyperkeratosis of yaws,A66.3,,,Hyperkeratosis of yaws
293,A66.4,,Gummata and ulcers of yaws,A66.4,,,Gummata and ulcers of yaws
294,A66.5,,Gangosa,A66.5,,,Gangosa
295,A66.6,,Bone and joint lesions of yaws,A66.6,,,Bone and joint lesions of yaws
296,A66.7,,Other manifestations of yaws,A66.7,,,Other manifestations of yaws
297,A66.8,,Latent yaws,A66.8,,,Latent yaws
298,A66.9,,"Yaws, unspecified",A66.9,,,"Yaws, unspecified"
299,A67.0,,Primary lesions of pinta,A67.0,,,Primary lesions of pinta
300,A67.1,,Intermediate lesions of pinta,A67.1,,,Intermediate lesions of pinta
301,A67.2,,Late lesions of pinta,A67.2,,,Late lesions of pinta
